listing_id,host_id,host_since,name,neighbourhood,property_type,room_type,bedrooms,price,number_of_reviews,review_scores_rating
18666,71615,2010-01-19,Flat with Sunny Terrace,el Camp de l'Arpa del Clot,Apartment,Entire home/apt,2.0,130,1,80.0
18674,71615,2010-01-19,Huge flat for 8 people close to Sagrada Familia,la Sagrada Família,Apartment,Entire home/apt,3.0,60,10,84.0
23197,90417,2010-03-09,FORUM DELUXE 5 MINS WALK  CCIB CENTER & SEA!,el Besòs i el Maresme,Apartment,Entire home/apt,3.0,200,38,94.0
25786,108310,2010-04-14,NICE ROOM AVAILABLE IN THE HEART OF GRACIA,la Vila de Gràcia,Apartment,Private room,1.0,42,231,95.0
31377,134698,2010-05-29,"Room for 2,  Sagrada Famili",el Baix Guinardó,Apartment,Private room,1.0,42,4,95.0
31380,134698,2010-05-29,"Room for 2-3. Barcelona, Sagrada Famili",el Baix Guinardó,Apartment,Private room,1.0,53,40,87.0
31958,136853,2010-06-02,"Gaudi Attic 1, Friendly Rentals",el Camp d'en Grassot i Gràcia Nova,Apartment,Entire home/apt,1.0,62,161,92.0
32471,136853,2010-06-02,"Gaudi Attic 2, Friendly Rentals",el Camp d'en Grassot i Gràcia Nova,Apartment,Entire home/apt,3.0,72,73,88.0
32615,141199,2010-06-09,"Sunny room, top floor with 2 terraces!",les Corts,Apartment,Private room,1.0,30,19,99.0
32711,135703,2010-05-31,Sagrada Familia area - Còrsega 1,el Camp d'en Grassot i Gràcia Nova,Apartment,Entire home/apt,2.0,140,51,86.0
34241,73163,2010-01-24,Private Double room - Plaza Real,el Barri Gòtic,Apartment,Private room,1.0,85,8,68.0
35379,152232,2010-06-25,Double 02 CasanovaRooms Barcelona,l'Antiga Esquerra de l'Eixample,Bed and breakfast,Private room,1.0,40,240,94.0
35388,152232,2010-06-25,Single 01 CasanovaRooms Barcelona,l'Antiga Esquerra de l'Eixample,Bed and breakfast,Private room,1.0,30,201,94.0
35390,152232,2010-06-25,Single 02 CasanovaRooms Barcelona,l'Antiga Esquerra de l'Eixample,Bed and breakfast,Private room,1.0,30,197,96.0
35392,152232,2010-06-25,Double 01 CasanovaRooms Barcelona,l'Antiga Esquerra de l'Eixample,Bed and breakfast,Private room,1.0,45,170,95.0
36763,158596,2010-07-05,In front of the beach,la Barceloneta,Apartment,Private room,1.0,38,54,94.0
40983,177617,2010-07-22,Classical loft close to pedrera!,la Dreta de l'Eixample,Loft,Entire home/apt,1.0,95,265,92.0
46153,90417,2010-03-09,"CHIC BORN, GREAT LOCATION , FREE WIFI","Sant Pere, Santa Caterina i la Ribera",Apartment,Entire home/apt,2.0,44,2,70.0
49213,208154,2010-08-21,"Descalzos en el parque, relaxing and  cool room",el Poble Sec,Apartment,Private room,1.0,35,41,98.0
49968,135703,2010-05-31,Sagrada Familia area - Còrsega 2,el Camp d'en Grassot i Gràcia Nova,Apartment,Entire home/apt,2.0,140,35,87.0
50066,135703,2010-05-31,Sagrada Familia area - Sardenya 1,el Fort Pienc,Apartment,Entire home/apt,3.0,180,49,93.0
58512,280070,2010-11-06,Stylish & cozy 3BR near Sagrada Familia,el Camp de l'Arpa del Clot,Apartment,Entire home/apt,3.0,116,364,89.0
61444,297545,2010-11-24,Bright apartment - Rambla Catalunya (HUTB-005863),la Dreta de l'Eixample,Apartment,Entire home/apt,2.0,105,41,85.0
66037,323105,2010-12-20,Great apartment in  en el Born,"Sant Pere, Santa Caterina i la Ribera",Apartment,Entire home/apt,2.0,190,97,89.0
67065,136853,2010-06-02,"Londres, Friendly Rentals",l'Antiga Esquerra de l'Eixample,Apartment,Entire home/apt,4.0,75,69,87.0
68547,340570,2011-01-09,two beds with private shower 30% off,el Barri Gòtic,Apartment,Private room,1.0,49,69,96.0
70099,353987,2011-01-19,"Room with a View, Bcn City Center",el Raval,Bed and breakfast,Private room,1.0,49,323,94.0
71520,366428,2011-01-28,Charming apartment with fantastic views!,Vallcarca i els Penitents,Apartment,Entire home/apt,3.0,250,1,100.0
71553,366654,2011-01-28,"Spring PROMOTIONS,  NewYork times penthouse flat !",el Fort Pienc,Apartment,Entire home/apt,1.0,110,47,83.0
71603,366654,2011-01-28,MODERNIST PENTHOUSE. 1bedroom apt with terrace,la Dreta de l'Eixample,Apartment,Entire home/apt,1.0,390,36,94.0
71736,368317,2011-01-30,APARTMENT BY MONTHS CITY CENTER MINIMUM 32 NIGHTS,el Raval,Apartment,Entire home/apt,4.0,100,11,80.0
72436,375625,2011-02-03,Lugaris Beach Business Apartment,el Poblenou,Serviced apartment,Entire home/apt,1.0,1000,197,96.0
72793,368317,2011-01-30,RENT BY MONTH COLORIST APARTMENT MINIMUN 32 NITGHS,el Raval,Apartment,Entire home/apt,1.0,45,2,100.0
72794,368317,2011-01-30,RENT MONTH FANTASTIC APARTMENT MINIMUM 32 NIGHTS,el Raval,Apartment,Entire home/apt,2.0,45,8,87.0
73455,383697,2011-02-09,RAMBLAS ORCHID2 FAMILY APARTMENT,el Raval,Apartment,Entire home/apt,2.0,148,91,88.0
73683,135703,2010-05-31,Sagrada Familia area for 12 people,el Camp d'en Grassot i Gràcia Nova,Apartment,Entire home/apt,4.0,300,144,92.0
73692,297545,2010-11-24,Rustic apartment : Rambla Catalunya (HUTB-005863),la Dreta de l'Eixample,Apartment,Entire home/apt,2.0,105,36,81.0
73693,297545,2010-11-24,Huge family apt with patio: Central (HUTB-005825),el Poble Sec,Apartment,Entire home/apt,2.0,65,36,82.0
73700,297545,2010-11-24,Centrally located budget apartment (HUTB-005832),el Poble Sec,Apartment,Entire home/apt,2.0,65,67,82.0
74562,382031,2011-02-08,Cute Suite near the MACBA,el Raval,Apartment,Private room,1.0,60,178,96.0
75003,396363,2011-02-17,130. Hércules Pequeño 41,la Sagrada Família,Apartment,Entire home/apt,2.0,89,8,97.0
75411,400154,2011-02-19,Sagrada Familia Clot Patio,el Clot,Apartment,Entire home/apt,3.0,125,25,90.0
80004,431839,2011-03-09,Parc Montjuic HUTB (Phone number hidden by Airbnb),el Poble Sec,Apartment,Entire home/apt,3.0,107,107,90.0
83283,700165,2011-06-14,★PLAZA ©ATALUÑA ®oom x2 + private bath®oom+wifi,Sant Antoni,Apartment,Private room,1.0,62,95,88.0
89756,488117,2011-04-06,"BCN-RENTALS RAMBLA 1, just 7-10 min to Ramblas",el Raval,Apartment,Entire home/apt,3.0,350,15,90.0
89776,488151,2011-04-06,Modernist flat Downtown Casa Estapé | Barcelona,el Fort Pienc,Apartment,Entire home/apt,1.0,65,292,95.0
95719,509260,2011-04-14,Lovely room to rent in El Gotico,"Sant Pere, Santa Caterina i la Ribera",Apartment,Private room,1.0,53,200,95.0
97529,497450,2011-04-10,CENTRAL  FURNISHED 1 ENSUITE BEDROOM APARTMENT,el Camp d'en Grassot i Gràcia Nova,Condominium,Entire home/apt,1.0,45,62,94.0
100256,527201,2011-04-22,"BARCELONA CENTRO EN LA PLAYA ,WIFI",la Barceloneta,Apartment,Entire home/apt,1.0,40,50,90.0
107437,556626,2011-05-04,A beautiful  villa in Barcelona,"Vallvidrera, el Tibidabo i les Planes",Villa,Entire home/apt,4.0,200,39,93.0
109462,396363,2011-02-17,026. Industria Ático Apartment,el Camp d'en Grassot i Gràcia Nova,Apartment,Entire home/apt,1.0,104,1,80.0
110041,396363,2011-02-17,002. Alió 2 Apartment,el Camp d'en Grassot i Gràcia Nova,Apartment,Entire home/apt,1.0,135,9,96.0
110098,396363,2011-02-17,023. Gignàs Gótic Apartment,el Barri Gòtic,Apartment,Entire home/apt,1.0,135,13,89.0
112538,567180,2011-05-08,Design Flat in the very center 5.3,la Sagrada Família,Apartment,Entire home/apt,3.0,200,78,84.0
119546,603336,2011-05-19,BCN HUGEROOM DTOWN PRIVATE BATHROOM.,el Raval,Apartment,Private room,1.0,70,282,97.0
128463,635253,2011-05-28,Private Suite in residential area!!,Sants,Apartment,Private room,1.0,42,242,97.0
